"country","2000_tb_deaths_per_100k","2001_tb_deaths_per_100k","2002_tb_deaths_per_100k","2003_tb_deaths_per_100k","2004_tb_deaths_per_100k","2005_tb_deaths_per_100k","2006_tb_deaths_per_100k","2007_tb_deaths_per_100k","2008_tb_deaths_per_100k","2009_tb_deaths_per_100k","2010_tb_deaths_per_100k","2000_gov_health_spending_usd","2001_gov_health_spending_usd","2002_gov_health_spending_usd","2003_gov_health_spending_usd","2004_gov_health_spending_usd","2005_gov_health_spending_usd","2006_gov_health_spending_usd","2007_gov_health_spending_usd","2008_gov_health_spending_usd","2009_gov_health_spending_usd","2010_gov_health_spending_usd"
"Bhutan",28,25,25,23,22,22,20,22,21,24,28,40.9,39.3,58.5,37.3,34.9,44,56.2,73.8,80.9,78.5,94.2
"Bolivia",32,31,29,27,24,23,22,21,20,18,17,36.9,36,37.5,30.7,32.6,38.6,41.3,44.4,55.6,58.4,60.6
"Bosnia and Herzegovina",5,5,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.1,60.9,67.1,78.8,123,139,145,169,223,294,304,307
"Botswana",269,246,207,199,166,145,174,165,120,112,130,94.4,126,145,180,346,311,291,386,407,442,446
"Brazil",5,4.7,4.4,4.2,4.1,3.8,3.8,3.7,3.7,3.7,4.2,107,96.3,90.7,94.8,121,156,205,255,306,320,466
"Brunei",5.7,4.8,3.6,3.3,4.4,4.2,3.4,2.9,2.8,3.9,4.1,477,432,439,488,558,582,598,662,754,710,748
"Bulgaria",4.4,4,3.9,3.8,3.7,3.7,3.7,3.8,3.3,2.8,2.8,59.5,75.5,94.3,125,145,167,169,218,278,256,237
"Burkina Faso",28,26,25,24,22,20,20,20,17,15,15,4.32,4.11,5.56,8.17,12.2,15.8,14.9,18,21.6,19.3,20.3
"Burundi",116,101,89,75,66,60,58,52,44,38,33,2.01,2.3,2.01,1.65,3.44,4.67,6.17,6.65,6.81,6.72,7.91
"Cambodia",58,59,71,64,58,51,48,44,41,39,34,3.81,5.27,6.58,8.42,9.26,7.22,7.99,10.3,12.7,15,16.8
"Cameroon",166,148,150,134,129,117,109,104,94,90,84,5.53,6.78,8.56,10.8,10.4,10.6,10.8,11.9,13.1,15.7,18.2
"Canada",0.61,0.62,0.59,0.52,0.42,0.48,0.45,0.44,0.45,0.3,0.3,1470,1500,1560,1880,2130,2430,2730,3050,3260,3190,3680
